Date,Latitude,Longitude,Likes
2022-01-01,45.43960639464096,10.99315668723993,70
2022-01-02,45.43960639464096,10.99315668723993,50
2022-01-03,45.43960639464096,10.99315668723993,55
2022-01-04,45.43960639464096,10.99315668723993,40
2022-01-05,45.43960639464096,10.99315668723993,70
2022-01-06,45.43960639464096,10.99315668723993,80
2022-01-07,45.43960639464096,10.99315668723993,100
2022-01-08,45.43960639464096,10.99315668723993,130
2022-01-09,45.43960639464096,10.99315668723993,90
2022-01-10,45.43960639464096,10.99315668723993,50
2022-01-11,45.43960639464096,10.99315668723993,40
2022-01-12,45.43960639464096,10.99315668723993,80
